x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,class
453,64,207,124,290,189,281,318,337,306,well
455,64,207,124,291,188,280,317,337,305,well
456,64,209,123,292,188,281,317,337,305,well
457,63,209,122,294,188,281,316,338,304,well
457,63,211,122,294,188,281,316,338,304,well
457,63,213,121,295,188,281,315,337,303,well
457,63,214,120,296,188,281,314,337,303,well
460,59,216,131,299,178,281,311,339,307,well
460,59,217,130,300,179,283,311,339,306,well
460,59,219,130,301,179,284,311,339,306,well
461,58,220,129,302,179,283,310,339,305,well
461,59,222,129,302,179,285,310,338,304,well
457,61,222,127,300,178,284,310,339,305,well
239,65,454,142,377,197,349,308,391,309,well
239,65,456,141,377,198,349,309,391,309,well
240,66,459,139,379,196,349,310,393,308,well
241,66,460,139,380,196,349,310,393,308,well
242,66,461,139,380,196,350,310,394,307,well
242,66,463,138,382,196,350,310,395,307,well
243,67,465,137,382,195,350,310,396,307,well
248,67,463,136,380,194,349,308,395,306,well
252,68,464,135,380,191,350,304,396,302,well
253,68,465,133,380,190,350,301,394,300,well
250,67,466,131,382,189,351,301,396,301,well
246,66,466,131,384,189,353,301,396,301,well
244,68,467,129,386,189,354,300,397,300,well
243,67,468,127,386,188,354,299,396,299,well
242,66,469,125,385,188,353,299,395,299,well
241,66,469,123,385,187,353,299,394,299,well
240,65,469,123,384,188,352,300,394,300,well
240,65,470,123,383,187,351,301,394,300,well
244,63,469,124,381,187,351,299,394,299,well
244,63,469,124,382,187,351,299,394,299,well
250,61,468,124,380,185,349,295,393,297,well
252,59,466,126,375,184,339,297,391,299,well
250,59,464,130,372,186,335,302,391,304,well
243,61,464,130,372,188,333,304,390,305,well
238,63,464,128,372,187,332,304,390,304,well
233,66,463,128,372,188,331,306,390,304,well
233,83,462,130,368,190,334,300,391,300,well
235,83,457,126,375,192,339,305,389,304,well
228,85,459,132,367,192,334,306,391,303,well
227,81,459,132,368,193,335,309,389,305,well
225,79,459,132,367,193,335,310,388,305,well
223,76,458,132,366,193,334,311,389,306,well
222,74,457,132,366,192,333,312,389,306,well
225,71,454,131,364,190,334,310,387,304,well
232,72,450,131,362,188,333,305,388,301,well
235,70,447,134,362,189,332,306,387,301,well
238,69,446,134,361,190,332,306,387,302,well
239,69,445,135,360,190,332,307,388,302,well
238,69,444,135,360,189,333,307,388,302,well
238,70,444,134,360,188,333,307,389,302,well
237,71,445,134,360,188,334,307,390,302,well
236,71,444,134,359,187,334,307,391,302,well
235,72,445,133,359,187,334,307,390,302,well
235,72,445,132,359,187,335,307,391,302,well
235,72,445,132,359,187,334,307,391,302,well
233,72,444,132,358,187,333,307,390,303,well
232,71,444,132,358,187,334,307,389,303,well
232,71,442,132,358,187,334,307,388,303,well
232,71,441,132,359,187,333,306,386,303,well
232,71,441,132,359,187,334,306,386,303,well
230,71,441,131,358,186,333,305,385,302,well
230,72,440,131,358,187,333,304,385,301,well
230,72,440,132,357,188,332,305,383,301,well
230,72,439,131,355,189,331,303,380,300,well
231,72,439,130,353,191,327,303,374,301,well
232,71,437,131,349,193,322,301,364,301,well
233,70,435,131,347,193,320,298,361,300,well
233,69,433,130,345,192,317,298,359,300,well
233,69,434,130,345,192,317,298,359,300,well
233,69,433,130,341,192,311,298,357,302,well
232,67,432,130,338,188,304,295,358,301,well
749,100,337,240,513,407,467,647,519,612,well
752,96,339,240,516,406,469,647,522,609,well
755,89,341,240,520,402,467,646,524,606,well
755,92,346,241,522,401,470,644,526,605,well
756,94,348,237,527,400,479,647,533,606,well
759,93,348,238,528,399,480,646,535,606,well
758,93,347,237,528,400,480,646,531,606,well
756,86,337,233,523,398,474,643,525,604,well
755,78,333,233,522,394,467,639,525,600,well
757,77,333,232,523,393,465,640,525,600,well
757,79,332,232,524,395,469,641,524,601,well
754,80,333,231,524,395,471,640,522,600,well
755,83,332,231,519,396,468,642,523,605,well
759,88,334,239,520,399,464,645,526,610,well
755,88,330,235,520,400,468,642,521,608,well
753,82,325,233,517,399,465,642,516,605,well
754,77,323,234,518,399,459,641,518,606,well
757,72,323,237,526,399,458,640,521,606,well
761,80,325,243,532,401,456,639,525,611,well
756,86,332,250,542,407,457,638,523,617,well
755,78,333,253,551,408,457,640,529,620,well
757,73,335,252,545,403,454,643,535,620,well
762,77,347,260,550,410,461,652,540,625,well
758,81,354,265,558,411,465,649,545,625,well
757,81,357,268,565,410,464,647,549,625,well
762,80,359,263,566,409,469,648,549,624,well
766,80,359,263,560,409,467,650,550,625,well
766,84,365,266,563,410,468,650,556,627,well
765,87,369,272,564,412,468,652,559,629,well
765,90,370,278,565,414,467,654,559,631,well
764,85,367,272,560,412,462,655,557,631,well
762,85,368,272,564,414,470,654,557,629,well
762,89,371,275,565,413,470,652,560,628,well
762,89,372,274,566,413,471,650,560,628,well
763,85,372,270,565,411,470,649,558,627,well
764,87,370,271,564,412,469,649,557,627,well
763,85,368,269,562,414,469,654,555,629,well
767,84,362,266,559,412,465,653,553,628,well
764,85,361,268,560,413,464,651,552,627,well
764,86,363,268,559,414,465,652,551,627,well
762,86,365,268,561,413,467,652,554,628,well
762,86,367,269,561,413,467,652,555,628,well
760,86,366,266,561,410,467,649,555,626,well
760,84,365,265,561,408,466,648,556,624,well
761,86,364,268,561,411,464,650,553,625,well
762,86,364,271,560,413,462,652,553,628,well
761,87,363,268,559,413,464,650,550,627,well
761,88,359,269,558,414,464,649,548,625,well
760,90,359,270,557,414,465,650,548,625,well
760,89,359,271,557,414,464,650,548,625,well
759,88,359,269,557,415,465,649,546,625,well
760,88,359,270,559,415,466,649,547,625,well
757,88,356,267,558,415,467,648,542,624,well
753,86,355,267,560,414,464,645,539,622,well
763,82,349,257,537,411,464,653,531,621,well
766,84,349,255,535,414,469,658,528,625,well
772,83,349,255,535,410,470,658,534,622,well
772,86,348,253,532,409,468,655,530,620,well
773,85,349,256,530,408,465,658,534,622,well
773,91,350,255,532,411,472,659,535,624,well
772,92,349,255,531,412,474,660,535,626,well
773,91,349,255,533,413,472,660,536,627,well
770,94,353,257,533,413,475,661,536,626,well
768,98,356,258,533,414,474,661,539,626,well
768,98,355,259,534,416,476,662,539,627,well
767,99,354,258,531,417,475,661,535,626,well
770,93,352,257,533,415,473,661,537,626,well
770,93,353,258,534,416,476,662,538,626,well
770,94,351,258,532,416,473,660,535,625,well
769,93,347,256,528,414,470,660,534,625,well
769,93,351,257,529,412,470,658,536,623,well
771,98,353,258,530,415,472,657,535,624,well
768,94,354,256,531,413,472,660,537,625,well
766,93,353,254,529,412,473,660,536,625,well
768,88,355,254,537,410,475,659,539,624,well
769,88,357,250,537,406,474,657,544,623,well
769,87,357,252,540,409,477,660,545,625,well
772,85,357,246,542,402,476,654,549,619,well
772,81,353,238,539,395,475,649,547,614,well
775,71,352,224,537,384,466,646,550,612,well
770,77,353,225,544,381,463,642,549,614,well
786,55,353,211,554,368,457,639,565,619,well
783,88,357,199,540,373,475,657,561,630,well
781,88,340,196,527,365,463,645,555,619,well
778,80,336,221,532,373,466,647,553,624,well
779,80,340,219,541,377,478,648,552,621,well
789,66,333,228,543,378,450,638,539,619,well
795,66,338,237,543,376,426,633,542,621,well
788,79,347,220,556,389,488,644,545,613,well
791,69,336,214,528,372,459,637,553,604,well
793,72,350,212,550,372,468,636,558,609,well
764,99,381,189,530,342,499,637,574,606,well
767,132,368,213,525,371,489,640,562,604,well
767,151,370,202,539,365,497,631,577,608,well
768,159,387,186,511,350,506,632,575,595,well
780,156,383,238,524,367,496,612,599,587,well
786,142,387,265,542,368,501,599,612,576,well
776,133,379,215,567,367,528,600,617,583,well
769,142,389,224,548,364,526,593,610,561,well
779,130,393,217,566,353,524,597,624,574,well
769,139,392,164,556,335,552,624,641,596,well
755,175,415,121,552,335,585,677,640,630,well
765,172,397,152,553,360,592,690,619,633,well
777,174,405,172,590,366,583,673,640,639,well
794,144,396,226,565,396,566,679,630,635,well
807,149,409,263,588,431,570,683,614,649,well
805,138,389,262,592,450,556,686,587,651,well
807,138,377,262,598,445,541,670,587,652,well
805,147,378,256,591,451,574,688,614,655,well
793,160,391,246,579,451,576,697,606,658,well
782,158,379,254,580,454,585,694,598,658,well
788,154,394,245,578,455,580,706,596,665,well
782,155,417,250,587,450,576,699,600,663,well
775,154,412,249,573,450,566,701,586,665,well
775,151,408,230,567,424,579,690,644,649,well
776,158,408,235,561,416,596,700,687,659,well
771,172,407,229,550,416,602,708,692,669,well
772,173,408,239,551,422,598,710,693,674,well
761,179,403,262,566,430,592,706,688,675,well
756,184,413,261,564,433,592,705,682,673,well
757,184,420,253,561,433,588,701,672,665,well
755,190,426,250,561,435,588,700,665,663,well
758,171,447,247,548,424,579,689,676,660,well
756,185,437,245,562,427,579,691,666,659,well
758,187,446,241,560,424,576,688,664,659,well
762,175,486,246,558,417,583,681,693,662,well
757,174,489,244,555,416,584,679,691,661,well
752,165,498,240,557,411,584,674,693,657,well
750,162,494,233,549,409,579,676,689,661,well
753,177,471,238,563,420,570,686,663,657,well
751,177,472,241,566,421,569,686,663,658,well
752,174,474,239,569,419,568,685,662,657,well
746,175,473,240,566,418,565,684,660,655,well
746,173,471,237,566,418,565,683,659,653,well
744,173,472,237,566,418,565,683,658,652,well
743,174,471,232,565,417,566,681,657,651,well
745,173,474,240,568,416,564,680,661,651,well
740,174,473,236,565,415,562,679,658,650,well
740,175,470,233,566,414,563,680,656,650,well
735,169,499,244,547,406,564,667,680,655,well
738,174,501,252,550,411,560,670,677,658,well
751,170,497,241,553,411,559,675,675,662,well
792,173,448,238,562,413,543,683,650,656,well
826,167,455,233,570,409,536,681,654,656,well
860,151,458,231,577,405,531,688,660,660,well
893,143,457,232,586,405,530,683,666,660,well
854,137,418,277,562,347,423,628,632,623,well
843,144,413,283,556,351,414,624,620,625,well
843,144,412,283,556,351,414,624,620,625,well
832,135,417,261,554,350,429,604,605,602,well
814,133,414,255,542,350,430,601,594,595,well
791,134,427,249,552,372,493,607,602,582,well
776,137,416,244,549,374,509,610,602,579,well
765,142,407,249,545,378,514,617,601,584,well
761,138,401,249,548,378,508,613,598,583,well
746,142,393,253,544,379,510,612,597,585,well
736,152,385,261,535,382,508,618,597,591,well
733,154,385,246,527,374,510,615,603,584,well
726,153,378,248,522,366,514,610,620,580,well
724,148,392,258,521,377,482,608,581,583,well
725,158,397,271,533,365,508,606,632,577,well
722,164,402,277,533,362,517,611,650,581,well
714,163,396,270,529,364,504,613,635,586,well
708,149,399,257,512,352,490,599,629,581,well
716,146,383,257,502,355,474,605,614,585,well
728,144,377,257,500,357,462,610,605,590,well
747,136,382,248,502,355,462,617,609,596,well
783,145,389,256,516,357,452,625,607,606,well
810,140,408,254,528,356,463,626,619,605,well
828,126,413,236,547,347,470,611,622,589,well
841,112,416,232,565,337,464,592,621,574,well
838,107,408,226,563,332,456,588,613,569,well
828,111,406,227,564,332,450,587,609,572,well
809,114,407,229,551,334,442,590,595,571,well
797,131,396,232,530,340,423,594,580,585,well
780,119,383,234,533,340,425,574,570,566,well
766,117,370,235,518,338,407,577,557,562,well
759,113,366,229,515,336,401,569,545,556,well
721,148,390,230,492,338,435,558,557,565,well
731,119,373,212,497,327,436,548,544,535,well
715,143,392,219,495,335,452,556,555,551,well
720,120,388,205,501,325,453,540,552,521,well
706,119,376,189,501,321,477,542,555,518,well
702,130,390,202,510,332,488,554,572,529,well
693,143,377,199,490,337,488,571,568,542,well
698,157,382,218,507,345,494,571,581,544,well
724,155,398,227,529,356,526,573,614,547,well
734,156,416,241,541,360,539,577,635,552,well
731,161,408,237,540,357,549,580,644,552,well
720,163,407,254,539,365,541,590,642,563,well
719,164,390,265,541,366,560,603,666,577,well
725,174,415,280,549,368,565,609,684,585,well
739,191,437,291,554,373,570,617,701,596,well
728,184,425,279,544,368,556,612,681,591,well
741,175,403,270,551,364,549,615,675,598,well
763,155,385,260,543,354,529,616,668,598,well
794,146,395,259,558,349,515,612,668,598,well
838,151,413,252,587,337,512,601,679,591,well
884,150,424,259,615,327,513,593,700,585,well
878,182,427,259,614,339,518,589,689,588,well
903,113,441,261,624,327,492,602,692,597,well
904,117,441,259,612,327,467,605,676,604,well
914,142,408,266,618,326,462,588,671,591,well
913,161,394,262,611,327,449,590,663,598,well
893,145,427,265,593,337,430,612,647,632,well
873,156,427,276,589,345,431,609,640,631,well
859,146,391,257,574,344,436,608,624,608,well
838,148,418,283,576,353,418,606,615,605,well
811,167,411,290,554,362,410,606,596,611,well
783,202,405,294,532,371,399,607,577,628,well
789,183,377,292,535,372,405,605,575,609,well
757,151,377,282,512,372,399,618,561,606,well
754,142,371,267,517,372,407,604,546,588,well
734,138,376,257,525,376,453,597,548,573,well
720,144,367,252,507,378,450,618,546,590,well
711,135,351,243,494,372,444,614,536,585,well
696,134,347,236,480,370,438,608,523,578,well
676,133,340,236,474,368,426,602,511,572,well
673,136,323,237,470,362,408,588,504,564,well
666,123,324,236,459,365,404,597,503,566,well
661,107,306,224,454,357,399,589,489,558,well
674,104,285,209,444,354,402,598,490,566,well
666,100,288,212,445,354,401,597,490,563,well
670,110,315,225,450,357,401,589,496,557,well
702,125,324,234,461,362,415,603,508,571,well
713,125,325,236,467,360,418,597,510,567,well
721,125,345,233,473,359,422,598,515,563,well
724,128,349,231,473,361,435,603,529,565,well
730,124,351,230,478,359,440,601,537,565,well
737,123,358,232,490,357,451,596,551,564,well
741,125,361,229,495,356,463,597,567,566,well
746,131,376,235,515,349,498,593,619,561,well
749,143,379,239,531,347,521,589,639,564,well
759,135,381,236,531,338,522,592,657,568,well
755,135,386,243,542,341,533,588,661,570,well
767,145,404,243,541,341,534,595,670,575,well
767,147,424,247,551,347,544,592,672,571,well
778,146,441,247,567,347,554,593,685,572,well
792,142,452,253,577,345,548,597,694,580,well
806,140,458,246,582,342,545,599,694,585,well
830,148,463,249,591,348,548,608,694,593,well
867,134,471,247,604,341,538,608,699,593,well
884,133,469,244,618,338,532,612,698,596,well
912,130,472,245,629,339,526,604,696,589,well
930,136,469,241,625,339,521,601,692,589,well
931,146,467,238,621,343,517,599,685,589,well
922,150,467,232,615,344,519,595,676,585,well
853,138,415,277,558,346,421,631,633,626,well
855,134,392,275,536,346,413,632,627,637,well
853,131,413,266,557,338,413,620,624,618,well
856,138,408,287,549,351,409,625,619,630,well
843,146,416,283,557,351,413,620,618,623,well
851,144,395,272,550,358,425,615,610,620,well
834,132,412,261,551,350,426,612,607,608,well
827,138,399,258,551,361,446,604,596,602,well
814,133,413,257,543,352,429,603,594,598,well
789,135,423,247,548,372,503,613,604,584,well
790,133,435,251,554,373,484,602,597,580,well
770,139,413,241,543,377,519,618,600,584,well
774,138,418,245,549,374,503,607,597,578,well
767,144,420,250,550,379,526,615,604,580,well
765,144,411,250,548,380,515,617,599,585,well
755,145,401,250,541,381,517,622,599,590,well
760,140,404,252,548,378,507,615,600,586,well
751,141,403,257,545,379,502,611,594,584,well
752,140,391,254,545,379,506,614,599,588,well
761,142,391,258,535,380,471,609,567,589,well
738,151,387,261,537,383,505,618,596,594,well
732,153,372,243,517,386,504,625,568,590,well
732,154,386,252,527,376,504,615,599,585,well
712,156,368,245,505,387,515,633,571,592,well
728,150,379,251,522,368,507,613,614,584,well
717,154,377,251,514,382,508,621,583,584,well
724,152,385,272,529,377,494,618,606,593,well
717,152,397,261,513,374,495,613,603,585,well
728,154,393,272,533,364,506,608,632,579,well
718,163,402,278,532,368,516,612,643,582,well
722,166,401,277,530,365,515,614,647,584,well
712,166,402,278,530,370,509,618,640,593,well
715,166,399,273,527,367,503,615,635,590,well
712,156,397,262,509,364,496,614,630,597,well
707,149,395,254,508,352,491,600,628,581,well
708,141,363,250,505,360,480,602,601,584,well
715,149,384,258,499,356,474,607,616,587,well
722,140,388,256,509,368,459,608,581,591,well
726,143,375,256,498,358,458,610,600,591,well
723,137,363,241,486,357,466,612,594,588,well
747,136,381,250,500,356,458,617,605,596,well
750,135,355,234,488,354,467,611,594,588,well
782,144,386,256,514,357,453,625,606,605,well
770,144,364,244,495,358,478,625,616,601,well
806,138,401,252,523,356,464,629,619,606,well
825,118,394,246,543,353,465,615,614,596,well
828,127,413,235,546,347,471,611,622,590,well
839,114,423,235,568,342,463,597,616,578,well
839,114,413,229,559,338,466,594,621,576,well
832,116,415,223,558,338,464,591,615,575,well
838,110,412,227,561,335,458,592,615,573,well
837,110,389,223,553,334,448,593,604,577,well
830,112,408,229,562,334,450,588,608,572,well
817,115,384,215,543,332,449,593,597,577,well
812,113,404,224,550,334,443,591,595,572,well
792,113,380,216,532,340,447,577,583,573,well
797,130,401,231,528,341,425,597,581,585,well
774,116,363,209,510,335,438,581,573,569,well
780,118,386,232,530,340,423,576,570,568,well
764,117,349,212,498,340,425,585,552,568,well
765,116,368,230,514,340,410,577,554,562,well
759,114,346,217,499,335,404,577,542,563,well
755,115,361,224,510,336,403,572,544,558,well
721,148,376,221,470,340,441,582,550,580,well
721,146,384,228,488,337,433,562,556,569,well
716,148,384,215,481,333,437,570,555,570,well
719,145,387,220,486,332,436,556,554,557,well
723,122,380,208,497,328,440,553,549,537,well
723,122,383,213,504,329,445,548,550,531,well
720,126,359,195,480,332,469,559,542,536,well
720,117,383,203,501,325,456,542,555,523,well
711,120,373,189,482,324,470,566,555,536,well
708,119,372,188,497,321,476,545,559,520,well
725,120,388,191,510,349,489,598,564,565,well
705,128,385,202,508,334,483,562,571,537,well
727,127,371,177,511,348,502,591,547,556,well
691,142,372,195,489,343,488,585,566,556,well
721,137,363,185,497,358,493,618,569,580,well
697,153,376,218,510,348,491,577,577,551,well
724,150,385,219,523,381,525,623,563,587,well
735,117,372,204,530,340,514,579,609,539,well
724,143,389,217,525,370,525,594,576,559,well
738,147,415,239,545,363,527,578,619,554,well
730,157,400,227,526,370,536,609,615,579,well
731,160,410,237,538,361,540,583,633,557,well
726,167,403,242,526,371,541,603,633,573,well
722,159,404,255,538,367,535,594,636,567,well
720,167,399,256,530,365,547,610,657,581,well
721,165,392,263,537,367,555,604,662,578,well
731,179,399,267,533,374,567,614,676,586,well
732,175,420,277,546,367,563,608,684,585,well
733,186,415,276,537,376,564,614,679,588,well
741,183,415,278,547,372,575,624,698,601,well
736,175,406,272,538,376,569,632,689,609,well
730,183,406,270,540,371,562,620,681,596,well
733,185,394,263,525,379,562,638,677,617,well
738,176,399,265,543,364,548,617,672,598,well
738,169,387,272,529,368,541,624,670,606,well
760,161,386,259,538,357,528,616,666,600,well
765,159,374,254,531,357,525,618,661,599,well
791,145,392,258,554,349,514,613,665,598,well
809,221,412,265,566,353,523,595,666,591,well
830,148,421,256,582,339,512,603,678,592,well
866,182,424,266,601,341,512,588,681,584,well
877,138,434,266,609,339,503,606,689,604,well
893,144,416,252,614,324,511,587,695,579,well
893,137,433,261,622,330,503,595,694,598,well
890,113,448,263,618,335,505,603,690,596,well
904,104,440,261,626,325,488,599,688,595,well
903,104,443,258,621,333,482,601,674,594,well
903,112,441,260,615,329,469,605,674,602,well
897,126,442,264,616,334,469,599,667,600,well
903,132,409,263,611,327,461,587,662,587,well
903,151,416,274,605,333,452,594,661,597,well
914,160,401,264,611,328,446,589,661,596,well
898,166,422,289,604,340,443,596,658,603,well
887,146,432,272,588,340,430,612,645,630,well
894,147,422,282,604,337,439,600,653,603,well
880,151,422,273,589,342,425,611,641,635,well
869,150,401,262,590,346,445,596,627,597,well
863,145,397,266,578,341,423,603,622,605,well
842,137,392,263,573,360,460,604,617,601,well
837,140,422,283,579,352,417,604,613,601,well
824,143,400,272,569,358,441,599,606,601,well
811,163,411,287,555,362,410,604,594,608,well
800,153,399,283,551,373,441,597,588,598,well
778,197,405,292,530,373,405,610,577,627,well
775,156,378,283,536,379,451,605,583,604,well
781,182,366,282,527,365,400,602,567,605,well
783,175,354,281,512,371,413,607,562,607,well
751,154,377,285,510,375,399,619,559,605,well
325,48,114,91,198,171,174,311,232,299,well
325,48,114,91,199,171,175,311,232,298,well
325,48,114,91,199,171,174,311,232,298,well
325,47,115,91,199,171,175,311,232,298,well
325,48,115,91,199,171,175,311,232,298,well
327,47,114,92,199,170,171,309,231,297,well
327,47,114,92,199,170,172,309,231,297,well
327,47,114,92,199,170,171,309,230,297,well
326,47,115,92,199,170,172,309,231,298,well
331,47,115,92,198,171,171,310,232,299,well
333,36,114,94,202,168,170,307,232,297,well
336,28,115,97,206,166,167,305,234,297,well
338,28,116,97,208,166,168,305,235,298,well
338,28,116,97,208,167,168,306,235,299,well
338,28,116,94,210,166,172,305,236,297,well
339,28,115,94,211,167,173,305,236,297,well
339,27,116,94,211,166,172,305,236,297,well
339,27,116,94,211,166,171,305,236,297,well
338,27,116,94,211,166,171,305,236,298,well
338,27,117,93,210,166,171,305,236,297,well
338,27,117,93,210,166,171,305,236,298,well
338,28,117,93,210,166,171,305,236,298,well
338,28,117,94,209,166,169,307,237,300,well
338,28,118,94,209,166,170,307,237,299,well
338,28,118,94,209,167,170,307,237,299,well
338,28,118,94,210,167,170,307,237,299,well
338,28,118,94,210,167,171,307,237,299,well
338,28,119,94,211,167,171,307,237,299,well
338,28,119,94,211,167,172,307,237,299,well
338,28,120,93,212,167,175,307,238,298,well
338,29,120,93,212,167,175,307,238,298,well
338,29,120,93,212,167,175,307,239,298,well
338,28,120,93,212,167,174,307,239,298,well
338,29,120,93,212,167,174,307,238,298,well
338,28,120,93,213,167,175,307,238,298,well
338,28,119,93,211,167,174,307,238,298,well
339,27,117,95,209,166,168,308,238,301,well
339,27,117,95,209,167,168,308,238,301,well
339,28,117,94,210,166,170,307,238,300,well
339,28,116,94,210,166,170,307,238,300,well
338,28,117,94,210,166,170,307,238,300,well
836,127,567,327,663,386,559,582,687,559,well
836,126,570,322,666,385,567,577,689,556,well
831,128,574,321,670,385,578,575,693,554,well
828,127,576,322,676,387,585,574,697,551,well
822,131,580,323,680,389,602,575,708,551,well
819,125,574,319,676,385,598,586,720,560,well
815,126,575,318,675,382,604,583,726,559,well
811,126,575,318,677,379,611,583,736,560,well
807,129,576,321,678,376,618,583,747,560,well
809,127,580,323,682,372,616,581,753,563,well
808,127,582,328,685,371,622,580,761,561,well
808,127,585,331,690,367,628,578,771,559,well
807,128,587,335,692,366,629,580,778,563,well
808,128,590,339,694,364,632,581,785,565,well
806,129,594,341,696,362,636,579,792,564,well
807,126,595,345,699,360,634,582,797,568,well
808,129,602,350,703,358,632,586,806,574,well
807,129,608,350,704,356,627,587,807,578,well
813,143,599,365,716,360,632,603,809,551,well
812,144,603,368,716,358,627,608,814,561,well
810,146,609,370,720,359,632,609,821,564,well
807,146,613,371,722,358,631,610,823,565,well
810,130,627,364,712,346,627,604,840,596,well
807,131,626,364,712,344,623,601,836,593,well
806,130,625,365,709,344,619,603,833,593,well
803,124,622,364,708,341,614,603,830,591,well
803,123,619,364,707,340,610,602,827,589,well
804,121,615,365,706,340,605,603,823,588,well
807,119,611,366,706,339,598,603,818,588,well
804,127,596,370,709,339,591,616,809,568,well
803,107,601,364,701,334,584,602,805,582,well
804,103,597,363,698,334,579,603,799,580,well
809,98,592,364,699,333,570,606,794,580,well
813,94,592,362,699,332,563,606,788,579,well
822,92,590,362,702,334,557,607,784,580,well
827,87,588,358,700,330,550,605,779,577,well
832,83,587,356,701,328,547,605,778,577,well
837,78,583,355,700,327,542,605,775,578,well
845,80,583,350,702,326,539,603,773,579,well
856,79,579,341,699,322,533,597,765,577,well
865,80,579,338,705,322,527,591,758,573,well
871,83,581,339,714,322,530,584,758,571,well
877,88,575,336,708,325,526,584,751,572,well
886,86,573,335,710,326,521,586,749,572,well
887,94,577,334,713,326,525,577,747,568,well
891,94,578,329,709,329,524,571,739,565,well
893,93,577,327,706,330,525,575,740,567,well
892,91,576,327,702,330,527,578,742,570,well
894,110,562,335,695,346,540,577,735,570,well
897,111,571,336,699,352,550,577,737,568,well
898,111,576,333,699,355,554,578,736,566,well
902,108,583,330,705,359,565,578,739,563,well
903,109,590,328,707,360,572,575,739,560,well
900,111,598,322,709,370,591,575,738,555,well
892,115,612,317,718,380,619,574,743,550,well
895,116,616,324,719,379,606,580,744,555,well
886,119,623,322,724,385,630,578,749,549,well
884,122,628,321,728,386,639,575,754,547,well
880,123,630,319,726,385,640,574,754,547,well
876,128,630,321,733,382,651,575,771,549,well
873,128,631,321,735,378,659,574,782,548,well
868,135,632,324,736,371,667,575,800,549,well
874,130,633,328,737,381,649,577,776,550,well
865,137,632,332,740,364,674,579,820,550,well
861,141,635,340,743,365,676,581,824,550,well
856,145,634,343,742,365,676,582,826,550,well
854,147,635,349,744,366,676,584,829,551,well
849,152,634,354,741,369,675,588,829,551,well
848,153,637,356,742,369,674,589,832,554,well
